DATA_TIMESTAMP,tn,tx,tavg,rh_avg,rr,ss,ff_x,ddd_x,ff_avg,ddd_car,KABUPATEN,JUMLAH_HOTSPOT
2018-11-05,24.0,34.3,27.0,87.0,,7.8,6.0,100.0,2.0,N ,BARITO SELATAN,0
2018-12-05,24.0,,27.2,88.0,2.7,8.3,3.0,270.0,1.0,N ,BARITO SELATAN,0
2018-02-11,24.0,33.2,27.9,84.0,12.2,2.6,3.0,30.0,2.0,E ,BARITO SELATAN,0
2018-03-11,24.0,34.0,28.8,82.0,,5.9,4.0,180.0,2.0,N ,BARITO SELATAN,0
2018-04-11,23.0,33.4,27.9,87.0,0.2,6.4,4.0,320.0,1.0,N ,BARITO SELATAN,2
2018-05-11,24.0,34.0,28.4,84.0,9.8,3.0,3.0,280.0,2.0,NW,BARITO SELATAN,0
2018-06-11,25.0,33.4,28.7,85.0,0.8,8.1,3.0,290.0,2.0,N ,BARITO SELATAN,0
2018-07-11,24.0,33.2,27.9,85.0,3.6,3.6,3.0,330.0,1.0,N ,BARITO SELATAN,4
2018-08-11,23.0,31.2,26.0,89.0,14.4,3.6,3.0,90.0,1.0,N ,BARITO SELATAN,0
2018-09-11,24.0,33.4,28.4,82.0,2.8,1.0,3.0,310.0,2.0,E ,BARITO SELATAN,10
2018-10-11,23.0,30.2,26.2,91.0,77.6,6.4,3.0,220.0,1.0,N ,BARITO SELATAN,0
2018-11-11,24.0,31.0,26.2,89.0,17.1,0.7,3.0,30.0,1.0,N ,BARITO SELATAN,0
2018-12-11,24.0,31.6,26.4,90.0,37.4,2.2,2.0,250.0,1.0,N ,BARITO SELATAN,0
2018-02-10,24.0,33.2,28.5,78.0,,8.0,5.0,320.0,3.0,N ,BARITO SELATAN,0
2018-03-10,25.0,34.5,29.2,77.0,,6.6,4.0,30.0,1.0,N ,BARITO SELATAN,0
2018-04-10,24.0,35.6,29.5,75.0,,6.0,4.0,320.0,2.0,N ,BARITO SELATAN,1
2018-05-10,24.0,35.0,29.4,75.0,,9.2,3.0,320.0,1.0,N ,BARITO SELATAN,0
2018-06-10,23.0,35.0,28.5,76.0,0.1,6.2,6.0,350.0,2.0,N ,BARITO SELATAN,0
2018-07-10,23.0,33.8,28.4,81.0,,6.9,3.0,240.0,2.0,N ,BARITO SELATAN,0
2018-08-10,23.0,35.2,27.3,84.0,0.2,3.6,4.0,10.0,2.0,N ,BARITO SELATAN,0
2018-09-10,23.0,33.4,28.1,83.0,13.0,7.4,3.0,240.0,2.0,N ,BARITO SELATAN,2
2018-10-10,24.0,34.2,28.1,86.0,0.1,7.6,7.0,20.0,1.0,N ,BARITO SELATAN,7
2018-11-10,24.0,31.8,25.3,94.0,26.6,5.0,5.0,350.0,1.0,N ,BARITO SELATAN,0
2018-12-10,24.0,33.6,27.6,85.0,4.4,4.2,6.0,20.0,2.0,N ,BARITO SELATAN,0
2018-02-09,23.0,32.5,26.9,82.0,11.6,4.5,4.0,130.0,1.0,N ,BARITO SELATAN,0
2018-03-09,21.0,33.9,27.5,79.0,9.5,6.6,5.0,160.0,2.0,S ,BARITO SELATAN,0
2018-04-09,23.0,32.8,27.1,80.0,,8.6,4.0,230.0,1.0,N ,BARITO SELATAN,0
2018-05-09,23.0,34.2,27.6,81.0,,6.2,4.0,130.0,2.0,W ,BARITO SELATAN,0
2018-06-09,22.0,30.6,26.0,87.0,52.2,6.6,6.0,180.0,2.0,N ,BARITO SELATAN,1
2018-07-09,23.0,33.6,26.9,86.0,,,4.0,330.0,2.0,NW,BARITO SELATAN,1
2018-08-09,21.0,34.7,28.2,76.0,0.3,3.4,2.0,170.0,1.0,N ,BARITO SELATAN,0
2018-09-09,24.0,33.8,28.4,78.0,,7.8,3.0,340.0,2.0,N ,BARITO SELATAN,16
2018-10-09,23.0,32.8,27.7,82.0,0.3,8.2,4.0,100.0,1.0,N ,BARITO SELATAN,14
2018-11-09,23.0,34.0,27.7,80.0,0.2,2.5,3.0,170.0,1.0,N ,BARITO SELATAN,0
2018-12-09,22.0,33.6,27.1,77.0,,5.2,3.0,130.0,2.0,N ,BARITO SELATAN,0
2019-02-08,23.0,31.4,26.5,88.0,,4.2,3.0,350.0,1.0,C ,BARITO SELATAN,0
2019-03-08,23.0,32.6,27.1,82.0,2.6,5.4,2.0,340.0,1.0,C ,BARITO SELATAN,0
2019-04-08,21.0,32.6,26.1,82.0,,5.0,2.0,210.0,1.0,C ,BARITO SELATAN,0
2019-05-08,21.0,32.6,26.5,80.0,,5.3,3.0,300.0,1.0,C ,BARITO SELATAN,0
2019-06-08,20.0,32.7,26.2,82.0,,7.7,2.0,160.0,1.0,C ,BARITO SELATAN,0
2019-07-08,21.0,31.0,25.9,84.0,,6.1,2.0,70.0,0.0,C ,BARITO SELATAN,0
2019-08-08,21.0,31.8,26.4,83.0,,3.1,2.0,190.0,0.0,C ,BARITO SELATAN,3
2019-09-08,20.0,33.8,26.7,82.0,,7.2,3.0,330.0,1.0,C ,BARITO SELATAN,9
2019-10-08,22.0,33.7,27.6,82.0,,7.3,3.0,270.0,1.0,C ,BARITO SELATAN,110
2019-11-08,21.0,34.4,27.9,80.0,,6.5,3.0,270.0,1.0,C ,BARITO SELATAN,22
2019-12-08,24.0,34.4,27.9,82.0,,6.7,3.0,50.0,0.0,C ,BARITO SELATAN,0
2019-02-04,23.2,32.1,25.7,91.0,4.9,3.2,10.0,180.0,2.0,S ,BARITO SELATAN,0
2019-03-04,22.8,32.3,27.0,86.0,25.0,5.8,2.0,210.0,1.0,C ,BARITO SELATAN,0
2019-04-04,23.8,33.6,27.4,88.0,9.0,4.2,6.0,200.0,1.0,C ,BARITO SELATAN,0
2019-05-04,23.7,27.4,25.7,93.0,2.0,4.4,3.0,350.0,1.0,N ,BARITO SELATAN,3
2019-06-04,23.0,34.2,28.9,78.0,3.0,0.0,5.0,270.0,1.0,C ,BARITO SELATAN,0
2019-07-04,24.0,32.4,27.5,88.0,2.0,7.8,3.0,270.0,1.0,C ,BARITO SELATAN,0
2019-08-04,24.2,32.7,28.4,86.0,,6.8,2.0,340.0,0.0,C ,BARITO SELATAN,40
2019-09-04,24.6,,27.6,82.0,,6.4,2.0,20.0,1.0,C ,BARITO SELATAN,28
2019-10-04,23.2,34.0,29.0,79.0,9.7,3.7,2.0,360.0,1.0,C ,BARITO SELATAN,1
2019-11-04,22.0,32.6,26.8,84.0,28.0,8.0,3.0,210.0,2.0,W ,BARITO SELATAN,13
2019-12-04,22.6,33.1,28.3,85.0,,5.6,2.0,270.0,0.0,C ,BARITO SELATAN,0
2019-02-12,23.0,32.6,27.6,85.0,26.5,,3.0,340.0,1.0,C ,BARITO SELATAN,0
2019-03-12,24.0,34.2,29.3,83.0,,4.1,4.0,270.0,2.0,C ,BARITO SELATAN,0
2019-04-12,24.0,32.4,27.7,86.0,62.6,6.0,3.0,270.0,1.0,C ,BARITO SELATAN,0
2019-05-12,24.0,34.6,28.6,82.0,0.5,4.8,3.0,340.0,1.0,C ,BARITO SELATAN,2
2019-06-12,22.0,30.8,26.5,82.0,11.0,7.4,2.0,340.0,0.0,C ,BARITO SELATAN,0
2019-07-12,23.0,34.8,27.8,84.0,,2.3,4.0,50.0,2.0,S ,BARITO SELATAN,1
2019-08-12,23.0,33.5,27.2,88.0,13.0,5.1,4.0,360.0,1.0,C ,BARITO SELATAN,24
2019-09-12,24.0,32.9,27.1,88.0,7.2,5.2,2.0,300.0,1.0,C ,BARITO SELATAN,126
2019-10-12,24.0,30.6,27.0,86.0,4.4,5.3,4.0,240.0,1.0,C ,BARITO SELATAN,0
2019-11-12,24.0,32.0,27.4,86.0,,1.5,3.0,330.0,1.0,C ,BARITO SELATAN,7
2019-12-12,24.0,32.0,27.2,86.0,0.4,1.8,3.0,90.0,1.0,C ,BARITO SELATAN,0
2019-02-02,23.0,32.8,27.0,88.0,4.9,5.4,2.0,10.0,1.0,SW,BARITO SELATAN,0
2019-03-02,22.4,,25.9,90.0,11.0,4.2,3.0,310.0,1.0,C ,BARITO SELATAN,0
2019-04-02,23.0,29.8,26.6,90.0,0.2,1.1,4.0,360.0,1.0,C ,BARITO SELATAN,0
2019-05-02,23.2,31.2,26.8,86.0,0.4,0.5,4.0,200.0,1.0,C ,BARITO SELATAN,0
2019-06-02,22.9,32.4,26.5,86.0,7.1,4.5,2.0,33.0,1.0,C ,BARITO SELATAN,0
2019-07-02,23.4,33.9,26.8,86.0,,2.6,3.0,310.0,1.0,C ,BARITO SELATAN,0
2019-08-02,24.0,33.0,27.7,85.0,,2.5,3.0,320.0,2.0,W ,BARITO SELATAN,6
2019-09-02,23.2,31.8,27.1,86.0,6.1,5.8,2.0,20.0,1.0,C ,BARITO SELATAN,93
2019-10-02,23.2,32.6,26.9,84.0,9.8,3.1,3.0,90.0,2.0,E ,BARITO SELATAN,27
2019-11-02,22.6,32.6,27.7,82.0,30.0,6.4,3.0,360.0,1.0,C ,BARITO SELATAN,0
2019-12-02,23.6,33.6,28.2,82.0,23.4,5.5,4.0,360.0,2.0,N ,BARITO SELATAN,0
2019-02-01,22.7,30.4,25.6,89.0,6.1,1.1,3.0,260.0,1.0,C ,BARITO SELATAN,0
2019-03-01,23.4,32.4,27.2,84.0,0.2,2.6,5.0,40.0,2.0,N ,BARITO SELATAN,0
2019-04-01,24.0,33.4,27.6,88.0,0.6,4.2,3.0,360.0,1.0,C ,BARITO SELATAN,0
2019-05-01,23.0,33.5,27.4,82.0,8.3,2.9,8.0,90.0,1.0,C ,BARITO SELATAN,0
2019-06-01,24.2,34.0,29.2,78.0,12.4,7.4,4.0,40.0,2.0,NE,BARITO SELATAN,0
2019-07-01,24.4,33.9,28.6,78.0,,9.0,5.0,360.0,1.0,C ,BARITO SELATAN,0
2019-08-01,23.6,33.3,27.6,87.0,5.8,8.0,5.0,90.0,2.0,C ,BARITO SELATAN,9
2019-09-01,23.0,31.8,26.8,84.0,18.6,3.4,2.0,40.0,1.0,C ,BARITO SELATAN,13
2019-10-01,23.4,32.9,26.5,89.0,1.2,3.6,3.0,20.0,1.0,C ,BARITO SELATAN,8
2019-11-01,23.8,31.4,27.2,86.0,23.0,3.5,4.0,40.0,2.0,N ,BARITO SELATAN,0
2019-12-01,24.6,33.6,27.4,87.0,0.4,5.2,3.0,100.0,1.0,C ,BARITO SELATAN,1
2019-02-07,24.0,30.8,27.5,88.0,,4.1,2.0,300.0,0.0,C ,BARITO SELATAN,0
2019-03-07,24.0,33.0,27.5,85.0,0.1,0.0,3.0,20.0,1.0,N ,BARITO SELATAN,0
2019-04-07,24.0,,27.0,85.0,,2.5,2.0,350.0,1.0,C ,BARITO SELATAN,0
2019-05-07,24.0,34.0,27.4,84.0,0.2,1.7,2.0,90.0,1.0,C ,BARITO SELATAN,0
2019-06-07,23.0,34.1,27.9,83.0,,7.1,2.0,210.0,1.0,C ,BARITO SELATAN,3
2019-07-07,23.0,33.8,28.4,81.0,15.3,5.5,2.0,90.0,0.0,C ,BARITO SELATAN,1
2019-08-07,23.0,32.8,26.7,88.0,,6.5,3.0,310.0,1.0,C ,BARITO SELATAN,0
2019-09-07,21.0,31.6,26.7,81.0,,7.3,2.0,200.0,0.0,C ,BARITO SELATAN,16
2019-10-07,23.0,32.7,26.8,85.0,,5.6,3.0,310.0,1.0,C ,BARITO SELATAN,13
2019-11-07,,33.3,27.6,81.0,2.4,3.2,3.0,360.0,1.0,C ,BARITO SELATAN,4
2019-12-07,23.0,32.8,27.7,84.0,,6.6,2.0,180.0,1.0,C ,BARITO SELATAN,0
2019-02-06,25.0,32.2,27.2,90.0,0.1,1.1,3.0,40.0,1.0,C ,BARITO SELATAN,0
2019-03-06,25.0,31.6,27.0,90.0,3.2,1.7,3.0,360.0,1.0,C ,BARITO SELATAN,0
2019-04-06,25.0,27.8,25.6,94.0,1.3,3.0,3.0,10.0,1.0,C ,BARITO SELATAN,0
2019-05-06,23.0,33.8,28.1,82.0,7.3,0.0,3.0,90.0,2.0,E ,BARITO SELATAN,0
2019-06-06,24.0,34.4,28.0,86.0,,6.6,3.0,120.0,1.0,N ,BARITO SELATAN,0
2019-07-06,24.0,33.0,26.5,90.0,1.2,5.9,3.0,40.0,1.0,NE,BARITO SELATAN,2
2019-08-06,24.0,28.6,25.8,94.0,5.4,3.1,3.0,340.0,1.0,C ,BARITO SELATAN,9
2019-09-06,23.0,28.6,25.6,92.0,0.5,0.0,2.0,340.0,1.0,N ,BARITO SELATAN,44
2019-10-06,23.0,33.4,27.3,88.0,0.2,0.0,4.0,180.0,1.0,C ,BARITO SELATAN,19
2019-11-06,24.0,33.0,27.6,87.0,,4.2,3.0,90.0,1.0,C ,BARITO SELATAN,8
2019-12-06,25.0,30.8,27.0,87.0,4.7,3.3,4.0,90.0,2.0,E ,BARITO SELATAN,0
2019-02-03,23.5,31.5,26.8,88.0,0.3,7.9,3.0,350.0,1.0,S ,BARITO SELATAN,0
2019-03-03,24.0,29.0,26.4,92.0,1.5,1.6,3.0,360.0,1.0,C ,BARITO SELATAN,0
2019-04-03,23.5,31.6,27.4,88.0,1.5,0.0,3.0,20.0,1.0,C ,BARITO SELATAN,0
2019-05-03,24.5,33.8,28.8,83.0,1.4,3.0,3.0,360.0,2.0,N ,BARITO SELATAN,0
2019-06-03,23.0,31.6,26.7,87.0,36.6,3.6,3.0,220.0,1.0,C ,BARITO SELATAN,0
2019-07-03,23.6,31.8,27.0,86.0,0.0,2.5,3.0,180.0,1.0,C ,BARITO SELATAN,0
2019-08-03,23.2,33.7,27.4,82.0,,2.1,3.0,90.0,1.0,C ,BARITO SELATAN,21
2019-09-03,23.6,34.0,27.7,84.0,,7.1,3.0,10.0,1.0,C ,BARITO SELATAN,40
2019-10-03,21.4,32.6,26.7,82.0,0.1,6.2,3.0,70.0,1.0,C ,BARITO SELATAN,2
2019-11-03,22.5,,27.2,84.0,0.2,5.9,4.0,210.0,1.0,C ,BARITO SELATAN,0
